stdid,univcode,department_id,semester_clean,semester,term,course_name,subject,sub,facid,fac_fem,fac_female,course_rank,elite,age,female,reservation_stu,father_college,mother_college,b_i_jeemain_score,b_math_g1_score,b_physics_g1_score,e_math_g3_score,e_physics_g3_score,b_ct_score,b_ql_score,b_math_confidence,b_physics_confidence,e_math_confidence,e_physics_confidence,b_math_anxiety,b_physics_anxiety,e_math_anxiety,e_physics_anxiety,b_stay_branch,e_stay_branch,e_received_tutoring,b_salary_expected,e_salary_expected,b_n_friends,e_n_friends,e_ask_questions2,b_ask_questions2,you_equityminded_math,you_equityminded_physics,mates_equityminded_math,mates_equityminded_physics,e_mathstudy_25,b_mathstudy_25,e_physicsstudy_25,b_physicsstudy_25,e_mathstudy_27,b_mathstudy_27,e_physicsstudy_27,b_physicsstudy_27,e_mathstudy_29,b_mathstudy_29,e_physicsstudy_29,b_physicsstudy_29,b_received_tutoring,e_dropped_out,e_switchmajor,e_attend_grad_school,e_college_satisfied,e_stem_belonging_z,fac_associate_professor,fac_assistant_professor,fac_professor,fac_yearsinhighed,fac_degree_college_elite,reservation_fac,fac_age,fac_highest_degree_phd,fac_highest_degree_phd_in_prog,fac_highest_degree_masters,major_better_after2yrs,math_science_better_after2yrs,math_science_better_start,intelligence_beliefs,weekly_hours_tutoring,weekly_hours_homework_tests,weekly_hours_course,weekly_hours_advising_students,weekly_hours_lessons_planning,weekly_hours_teaching_class,tpi_score3,tpi_score4,tpi_score5,tpi_score8
100017,COL01,COL01_CS,1,1,1,SEM1_MATH,math,math,F0001,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,2.7956694893741694,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,4_agree,4_agree,5_strongly_agree,fixed intelligence&&agree::can learn&&disagree::student control&&strongly agree,NA,NA,NA,NA,NA,NA,0.39527708397708955,-0.004508223969298231,-0.3345991130576138,-2.2648409552819975
100017,COL01,COL01_CS,1,1,1,SEM1_PHYSICS,physics,physics,F0005,0,0,63.830,0,18.260,1,1,0,0,61.201,75.021,57.843,88.170,54.811,66.630,58.277,3.256,3.820,3.343,3.567,2.680,2.794,2.547,2.803,0,0,0,NA,719.798,3.218,8.366,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,2.7956694893741694,0.996,0,0,1,3.013,0,0,36.430,1,0,0,1_strongly_disagree,2_disagree,4_agree,fixed intelligence&&strongly agree::can learn&&neither agree nor disagree::student control&&strongly disagree,1.983,2.677,5.540,1.413,6.742,7.582,1.469012680919157,0.8883424421005357,-1.0398478957079762,-0.5282729690759685
100017,COL01,COL01_CS,1,1,1,SEM1_PROGRAMMING,programming,programming,F0008,0,0,72.340,1,18.260,1,1,0,0,61.201,75.021,57.843,88.170,54.811,66.630,58.277,3.256,3.820,3.343,3.567,2.680,2.794,2.547,2.803,0,0,0,602.155,719.798,3.218,8.366,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,2.7956694893741694,0.996,1,0,0,6.358,0,0,30.348,1,0,0,4_agree,5_strongly_agree,2_disagree,fixed intelligence&&disagree::can learn&&strongly agree::student control&&neither agree nor disagree,2.726,1.722,3.028,1.301,3.657,7.844,1.7013525346529121,0.28705821569684375,0.490825957081185,-0.3117809791493415
100017,COL01,COL01_CS,1,1,1,SEM1_WRITING,writing,writing,F0012,1,1,78.723,0,18.260,1,1,0,0,61.201,75.021,57.843,88.170,54.811,66.630,58.277,3.256,3.820,3.343,3.567,2.680,2.794,2.547,2.803,0,0,0,602.155,719.798,3.218,8.366,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,2.7956694893741694,0.996,1,0,0,19.472,0,0,28.979,0,0,1,5_strongly_agree,5_strongly_agree,1_strongly_disagree,fixed intelligence&&neither agree nor disagree::can learn&&strongly disagree::student control&&agree,2.149,3.020,8.189,1.852,1.028,8.911,0.5208849653308365,-0.18716361869508008,-1.549697755708209,0.5225813018830203
100017,COL01,COL01_CS,2,2,2,SEM2_MATH,math,math,F0013,1,1,80.851,0,18.260,1,1,0,0,61.201,75.021,57.843,88.170,54.811,66.630,58.277,3.256,3.820,3.343,3.567,2.680,2.794,2.547,2.803,0,0,0,602.155,719.798,3.218,8.366,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,2.7956694893741694,0.996,1,0,0,9.678,0,0,43.179,1,0,0,1_strongly_disagree,1_strongly_disagree,2_disagree,fixed intelligence&&disagree::can learn&&strongly agree::student control&&neither agree nor disagree,0.715,2.989,4.892,4.469,3.722,6.103,-0.28089797407368344,0.13580286485191195,1.202927217498739,1.12354407560251
100017,COL01,COL01_CS,2,2,2,SEM2_PHYSICS,physics,physics,F0017,0,0,93.617,0,18.260,1,1,0,0,61.201,75.021,57.843,88.170,54.811,66.630,58.277,3.256,3.820,3.343,3.567,2.680,2.794,2.547,2.803,0,0,0,602.155,719.798,3.218,8.366,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,2.7956694893741694,0.996,1,0,0,6.260,0,0,26,1,0,0,3_neither_agree_nor_disagree,4_agree,1_strongly_disagree,fixed intelligence&&neither agree nor disagree::can learn&&strongly disagree::student control&&agree,1.667,2.898,4.836,3.405,4.697,8.359,-0.017471138779008317,-1.3095930603432175,-0.08180579175949333,-0.5006669769815253
100017,COL01,COL01_CS,2,2,2,SEM2_CIRCUITS,circuits,circuits,F0019,1,1,51.064,0,18.260,1,1,0,0,61.201,75.021,57.843,88.170,54.811,66.630,58.277,3.256,3.820,3.343,3.567,2.680,2.794,2.547,2.803,0,0,0,602.155,719.798,3.218,8.366,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,2.7956694893741694,0.996,0,1,0,10.535,0,0,34.542,1,0,0,2_disagree,2_disagree,3_neither_agree_nor_disagree,fixed intelligence&&strongly disagree::can learn&&agree::student control&&disagree,2.011,2.042,5.730,1.082,5.530,3.425,0.9044572098079646,-1.3079303471789847,-0.17132930352016226,0.5450662858777284
100017,COL01,COL01_CS,2,2,2,SEM2_SOFT_SKILLS,soft skills,soft_skills,F0024,1,1,97.872,0,18.260,1,1,0,0,61.201,75.021,57.843,88.170,54.811,66.630,58.277,3.256,3.820,3.343,3.567,2.680,2.794,2.547,2.803,0,0,0,602.155,719.798,3.218,8.366,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,2.7956694893741694,0.996,0,1,0,2.233,0,0,34.712,1,0,0,2_disagree,2_disagree,3_neither_agree_nor_disagree,fixed intelligence&&strongly disagree::can learn&&agree::student control&&disagree,1.415,3.502,4.114,2.609,2.343,7.438,0.20375563239281838,0.5506664276080595,1.7087051433987002,2.009507083290826
100041,COL01,COL01_CS,1,1,1,SEM1_MATH,math,math,F0002,0,0,72.340,0,17.850,0,0,1,0,62.880,37.448,43.717,51.073,42.359,45.072,49.336,3.681,3.521,3.576,3.158,2.582,3.267,2.340,2.960,1,1,0,715.880,707.414,7.421,8.651,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2.7489859174924467,0.088,1,0,0,9.541,0,1,44.191,1,0,0,3_neither_agree_nor_disagree,4_agree,1_strongly_disagree,fixed intelligence&&neither agree nor disagree::can learn&&strongly disagree::student control&&agree,1.373,3.896,5.703,0.886,6.333,9.141,-0.3160013655221235,-0.19667384406567637,-0.9349599738937432,-1.2087180095444583
100041,COL01,COL01_CS,1,1,1,SEM1_PHYSICS,physics,physics,F0004,1,1,46.809,1,17.850,0,0,1,0,62.880,37.448,43.717,51.073,42.359,45.072,49.336,3.681,3.521,3.576,3.158,2.582,3.267,2.340,2.960,1,1,0,715.880,707.414,7.421,8.651,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2.7489859174924467,0.088,1,0,0,11.950,0,1,26.830,1,0,0,2_disagree,2_disagree,3_neither_agree_nor_disagree,fixed intelligence&&strongly disagree::can learn&&agree::student control&&disagree,2.988,4.042,5.903,1.802,5.391,2,0.13996891469833675,-1.1303020109620463,0.38673109221550517,0.15829724047070598
